"Area" "Mean" "StdDev" "Mode" "Min" "Max" "X" "Y" "XM" "YM" "Perim" "BX" "BY" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "RawIntDen" "FeretX" "FeretY" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Type"
"29_M_1" 19 28261.895 17580.007 12144 12144 64464 2991.026 167.868 2991.007 167.647 17.314 2987 166 7 4 6.294 3.843 170.337 0.796 7.28 536976 22208 536976 2987 167 164.055 4 1.638 0.611 0.826 "Négatif"
"29_M_2" 18 17222.222 3716.501 17488 12352 24496 3086.278 177.389 3086.26 177.436 15.899 3084 174 4 6 5.872 3.903 83.914 0.895 6.325 310000 17184 310000 3086 174 108.435 4 1.505 0.665 0.878 "Négatif"
"29_M_3" 10 15315.2 3005.955 11888 11888 20560 3162.3 183 3162.336 183.004 10.485 3161 181 3 4 4.111 3.097 90 1 4.472 153152 14896 153152 3161 181 116.565 3 1.327 0.753 0.909 "Négatif"
"29_M_4" 6 13760 875.011 12800 12800 14864 3087.5 188 3087.47 187.987 7.657 3086 187 3 2 3.385 2.257 0 1 3.606 82560 13808 82560 3086 187 146.31 2 1.5 0.667 1 "Négatif"
"29_M_5" 7 14395.429 1315.531 13184 13184 16944 3139.786 240.5 3139.799 240.521 9.071 3138 239 3 3 3.086 2.888 90 1 3.606 100768 13936 100768 3139 239 123.69 3 1.069 0.936 0.875 "Négatif"
"29_M_6" 10 20171.2 6857.539 11776 11776 34112 3107.5 260.7 3107.472 260.6 11.071 3106 259 3 4 3.966 3.21 90 1 4.472 201712 22512 201712 3106 259 116.565 3 1.236 0.809 0.909 "Négatif"
"29_M_7" 22 16728 3200.422 12416 12416 24944 3299 273.091 3299.102 273.025 17.556 3296 270 6 6 7.427 3.771 47.816 0.897 7.81 368016 15856 368016 3296 276 39.806 4.243 1.969 0.508 0.846 "Négatif"
"29_M_8" 18 21692.444 9108.946 11776 11776 42384 3374.444 289.167 3374.419 289.138 16.142 3372 286 5 6 5.464 4.194 104.662 0.868 6.325 390464 19360 390464 3374 286 108.435 4.919 1.303 0.768 0.8 "Négatif"
"29_M_9" 7 14454.857 1902.405 12384 12384 17056 3595.786 343.5 3595.754 343.483 9.071 3594 342 3 3 3.086 2.888 90 1 3.606 101184 13824 101184 3595 342 123.69 3 1.069 0.936 0.875 "Négatif"
"29_M_10" 6 13418.667 1696.111 11680 11680 16224 2749.333 356.167 2749.313 356.137 9.071 2748 355 3 3 2.93 2.607 63.435 0.916 3.606 80512 13856 80512 2748 355 123.69 3 1.124 0.89 0.8 "Négatif"
"29_M_11" 5 12288 510.122 11840 11840 13152 2351.5 374.3 2351.504 374.303 8.485 2350 373 3 3 3.086 2.063 124.099 0.873 3.606 61440 12080 61440 2350 373 123.69 2.683 1.496 0.668 0.714 "Négatif"
"29_M_12" 133 34790.617 21968.538 65504 11680 65504 2890.214 383.538 2890.846 384.022 47.355 2884 375 13 16 15.358 11.026 118.404 0.745 16.763 4627152 25280 4627152 2889 375 107.354 12.07 1.393 0.718 0.872 "Négatif"
"29_M_13" 26 23905.846 14161.755 12208 12208 63616 3252.885 389.538 3253.086 389.595 20.385 3249 386 7 7 6.144 5.388 157.451 0.786 7.28 621552 18032 621552 3252 386 105.945 6.102 1.14 0.877 0.765 "Négatif"
"29_M_14" 172 32433.674 21315.104 65504 11728 65504 2500.465 440.994 2501.251 441.618 57.841 2492 433 16 17 15.479 14.148 137.509 0.646 17.205 5578592 22640 5578592 2494 435 125.538 15.556 1.094 0.914 0.827 "Négatif"
"29_M_15" 5 12870.4 475.795 12416 12416 13552 2923.3 443.9 2923.302 443.897 7.071 2922 443 3 2 3.144 2.025 18.435 1 3.606 64352 12832 64352 2922 445 33.69 2 1.553 0.644 0.909 "Négatif"
"29_M_16" 23 19334.261 5564.68 11856 11856 30880 3035.717 450.543 3035.779 450.528 21.556 3033 447 5 7 6.199 4.724 71.005 0.622 7.211 444688 18368 444688 3033 448 123.69 5 1.312 0.762 0.754 "Négatif"
"29_M_17" 8 13754 1919.904 11808 11808 17440 3766.5 459.25 3766.49 459.238 10.485 3765 457 3 4 3.978 2.56 65.593 0.914 4.472 110032 12960 110032 3765 461 63.435 3 1.554 0.644 0.8 "Négatif"
"29_M_18" 5 14336 1525.59 12704 12704 16144 3676.1 469.7 3676.096 469.714 7.657 3675 468 2 3 3.144 2.025 71.565 1 3.606 71680 14800 71680 3675 471 56.31 2 1.553 0.644 0.909 "Négatif"
