"Area" "Mean" "StdDev" "Mode" "Min" "Max" "X" "Y" "XM" "YM" "Perim" "BX" "BY" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "RawIntDen" "FeretX" "FeretY" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Type"
"1" 93 30841.634 20585.455 65504 11712 65504 3777.134 666.457 3777.665 666.862 45.698 3771 660 11 14 13.185 8.981 96.561 0.56 14.56 2868272 22976 2868272 3775 660 105.945 10.786 1.468 0.681 0.809 "Positif"
"2" 68 30068 20095.664 65504 11776 65504 3906.176 668.779 3906.532 669.237 40.87 3901 663 9 12 10.923 7.926 83.406 0.512 12.166 2044624 20832 2044624 3905 663 99.462 9 1.378 0.726 0.81 "Positif"
"3" 44 29977.455 20976.136 65504 11680 65504 3917.318 685.568 3917.573 685.73 28.385 3914 681 7 9 8.693 6.445 87.013 0.686 10.296 1319008 20608 1319008 3914 681 119.055 7 1.349 0.741 0.786 "Positif"
"4" 86 30561.116 20575.985 65504 11600 65504 4012.86 688.012 4013.132 688.502 44.77 4007 681 12 13 11.439 9.573 98.226 0.539 13.342 2628256 22240 2628256 4012 681 102.995 11.7 1.195 0.837 0.771 "Positif"
"5" 93 29203.613 19845.237 65504 11568 65504 3928.425 688.941 3928.824 689.419 43.355 3922 683 12 13 14.029 8.441 135.201 0.622 15.62 2715936 20400 2715936 3922 684 129.806 10.464 1.662 0.602 0.816 "Positif"
"6" 68 29816.706 20519.159 65504 11584 65504 3861.191 689.471 3861.506 689.822 36.627 3856 684 9 11 10.604 8.165 79.166 0.637 12.083 2027536 21520 2027536 3860 695 65.556 9 1.299 0.77 0.824 "Positif"
"7" 40 27673.6 19842.174 65504 11712 65504 4035.95 689.9 4036.155 690.08 24.142 4032 686 7 8 8.187 6.221 84.472 0.862 8.944 1106944 18240 1106944 4034 694 63.435 6.957 1.316 0.76 0.842 "Positif"
"8" 71 29212.394 20511.12 65504 11584 65504 4074.246 695.387 4074.599 695.883 42.527 4070 688 8 14 12.008 7.528 94.084 0.493 14.318 2074080 18144 2074080 4073 688 102.095 8 1.595 0.627 0.776 "Positif"
"9" 56 29586.571 19680.854 65504 11568 65504 3894.964 695.679 3895.267 696.073 29.213 3891 690 8 11 9.931 7.18 86.437 0.825 11.402 1656848 21808 1656848 3894 701 74.745 8 1.383 0.723 0.836 "Positif"
"10" 154 30619.74 20760.863 65504 11600 65504 3697.37 702 3697.905 702.518 72.569 3689 693 15 18 15.548 12.611 95.212 0.367 18.111 4715440 18656 4715440 3698 693 96.34 14.23 1.233 0.811 0.772 "Positif"
