"CGA" "Cafeine" "Fat" "Trigonelline" "DM" "Localisation"
"V2" 7.9308925 1.0662341 12.8580256 0.7581199 90.8732834 1
"V3" 7.6995125 1.1530044 12.4704638 0.7608271 90.4887695 1
"V4" 7.9261389 1.0834132 12.7914581 0.8023662 89.974617 6
"V5" 8.1232853 1.3900521 13.4207811 0.8113176 91.8358231 4
"V6" 7.3146029 1.1802186 12.8195286 0.8306411 90.5551453 1
"V7" 8.0300665 1.0366493 12.3060341 0.8545167 89.8593445 6
"V8" 7.9253325 1.2224445 15.7032375 0.9477825 90.8745346 7
"V9" 7.7013626 1.2489032 12.7757387 0.7966911 91.3021774 4
"V10" 7.7979264 1.2715914 13.3929119 0.793783 90.8495941 4
"V11" 7.9800835 1.2572701 15.6556864 0.8691767 90.3635864 7
"V12" 7.8660331 1.1661149 12.5091228 0.8469052 89.7630234 6
"V13" 8.0493212 1.0386842 12.6293917 0.7461894 89.923233 6
"V14" 7.4568496 1.0923227 11.9601116 0.766785 89.696846 6
"V15" 8.0750284 1.1882861 13.1847382 0.8274633 90.2594757 2
"V16" 7.877737 1.1328887 11.8851871 0.7991188 89.8434143 3
"V17" 8.2742167 1.0443515 12.6195822 0.8130215 89.8979568 6
"V18" 8.3432894 1.0006514 14.0908651 0.8967828 90.2555695 2
"V19" 7.7303267 1.1007497 14.264349 0.8589123 89.7292099 6
"V20" 8.1854448 1.0813624 14.5568533 0.8204936 90.5741196 7
"V21" 7.7158155 1.0802619 12.0438385 0.8794994 89.6817169 6
"V22" 8.0731354 1.1792095 13.3274689 0.7746101 90.1243973 6
"V23" 7.912169 0.9694898 12.3448801 0.7535973 89.9199142 6
"V24" 8.0754805 0.9423965 9.2308025 0.8711586 89.8794327 5
"V25" 7.7100787 1.073549 12.1140661 0.7749435 90.5897446 6
"V26" 7.8539519 1.118853 13.4370966 0.8600136 90.0411987 5
"V27" 7.9477305 1.2980983 12.5222301 0.7058495 90.1138382 3
"V28" 8.0066414 1.1576643 12.414813 0.7955762 90.4192886 2
"V29" 8.0875282 0.9904357 14.5700588 0.9577329 89.8172455 6
"V30" 7.2511444 1.187937 13.3498354 0.8202333 90.7604904 1
"V31" 7.3596816 1.2859943 10.1033802 0.6909397 90.1675415 5
