"LMP" "FSPLIT" "MSPLIT" "F34LV" "F34LR" "M34LR" "F23LR" "M23LR" "MSPLIT2" "FSPLIT2" "F1CGM" "F2CGM"
"301" 58.8778895359097 11.125 69.315 14.13 14.835 56.16 13.96 58.24 67.135 12.605 15 16
"302" 52.7935937789298 16.42 59.895 21.715 17.275 51.035 14.655 57.815 59.035 17.83 18 16
"303" 59.2453016815035 11.35 77.795 16.335 12.585 58.905 10.695 64.635 77.195 11.83 16 13
"304" 55.3258552108194 20.485 73.06 22.06 18.43 63.165 15.59 66.67 73.17 21.335 19 20
"305" 64.3937246659661 11.16 77.455 13.83 13.14 59.025 11.57 61.91 77.675 12.815 15 15
"306" 55.7071484681854 19.395 71.21 21.23 22.195 57.12 18.975 57.43 71.48 20.36 21 23
"307" 62.8011195258479 10.795 76.88 14.845 9.725 56.255 9.57 61.51 72.19 11.665 14 11
"308" 61.0493901420217 12.315 80.96 15.29 12.035 69.395 10.4 70.15 78.45 12.95 16 14
"309" 59.5423667570009 12.975 69.545 16.375 15.44 61.22 14.13 66.58 67.765 14.33 17 17
"310" 58.8506316321374 15.125 80.67 18.945 12.225 69.25 10.81 71.92 81.6 15.31 19 14
"311" 58.7474647350362 15.535 68.595 15.15 13.935 53.13 12.9 57.01 68.62 16.695 15 16
"312" 61.957382974878 17.395 70.82 15.415 12.255 58.32 10.425 64.135 70.23 17.76 15 12
"313" 61.9218365758755 14.985 71.035 17.27 10.81 57.665 10.985 58.785 71.94 15.45 17 14
"314" 59.0141663882392 11.225 74.315 16.86 14.42 70.14 13.04 73.825 74.505 11.675 18 16
"315" 61.1629955947137 11.37 79.855 15.33 13.235 64.225 10.23 64.575 80.48 11.71 17 14
"316" 58.7000345423143 15.2 68.215 16.23 11.115 56.31 11.32 57.97 68.305 16.72 16 13
"317" 65.7710577547047 12.36 78.185 11.64 9.965 60.375 9.37 65.05 77.125 12.31 14 12
"318" 64.6552244165171 9.065 73.68 13.46 10.6 59.73 8.73 62.52 71.32 9.875 14 11
"319" 58.1336767546684 17.715 81.35 18.73 16.59 66.095 15.475 66.03 80.095 19.12 20 18
"320" 60.6531817348249 17.835 65.015 14.45 13.635 66.615 10.795 66.655 65.4 18.42 17 16
"321" 59.8117440841367 14.76 82.235 14.78 14.64 72.56 13 72.96 80.3 16.065 17 16
"322" 58.5152020293531 15.92 70.44 16.65 14.18 62.92 12.575 67.15 71.03 17.115 18 16
"323" 62.5507042253521 7.885 69.165 12.285 9.42 60.47 9.415 59.105 67.92 9.655 12 12
"324" 60.813047014804 13.12 72.055 18.03 16.03 60.735 14.54 64.805 71.68 13.705 17 17
"325" 65.4141550146729 8.31 77.93 13.33 9.285 68.335 8.75 69.72 80.895 8.22 15 11
"326" 59.8733175269013 12.76 78.77 15.335 11.36 63.72 10.555 62.81 78.805 13.03 16 14
"327" 59.8709428413894 12.08 73.89 16.495 11.29 53.18 9.925 58.285 72.125 11.95 16 12
"328" 59.6823529411765 14.945 78.515 13.69 13.38 63.185 12.065 65.875 78.7 14.615 15 15
"329" 56.8203061763153 12.725 63.95 16.86 11.685 57.285 11.985 60.695 62.38 14.97 17 14
"330" 57.4796067130022 11.245 67.43 15.66 15.675 48.105 15.045 46.025 64.16 10.19 16 17
"331" 59.8822662518421 17.585 77.445 19.38 16.705 67.405 15.03 68.285 75.715 18.8 18 18
"332" 55.1934804082977 21.235 66.53 16.785 16.535 56.895 15.135 57.66 67.085 21.85 18 18
"333" 59.3618100788481 15.87 72.645 17.23 14.045 61.315 12.515 62.34 70.495 16.185 16 14
"334" 60.8349916527546 9.34 72.115 13.605 10.85 60.135 9.33 61.545 73.625 9.965 14 11
"335" 66.2974816703857 5.74 75.77 10.625 8.06 67.72 6.95 69.86 76.645 7 12 10
"336" 57.0997345998044 14.53 83.45 22.305 17.83 66.295 15.65 71.775 85.33 16.06 21 20
